Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating
"Claws for Concern (Cat in the Stacks Mystery) Hardcover – February 20, 2018",17.10,"Books > Mystery, Thriller & Suspense > Mystery",Miranda James,042527778X,,"Berkley (February 20, 2018)",English,6.4 x 1 x 9.3 inches,1 pounds,4.6
"Operator Down: A Pike Logan Thriller Hardcover – January 9, 2018",17.70,Books > Literature & Fiction > Action & Adventure,Brad Taylor,1101984813,,"Dutton (January 9, 2018)",English,6.3 x 1.4 x 9.3 inches,1.5 pounds,4.6
"Mrs. Dalloway Paperback – September 24, 1990",8.42,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Virginia Woolf Maureen Howard,156628708,224,Mariner Books; 1 edition (1990),English,5.3 x 0.6 x 8 inches,7.2 ounces,3.8
"Brave New World Paperback – September 29, 2017",9.89,Books > Literature & Fiction,Aldous Huxley,197755203X,176,"CreateSpace Independent Publishing Platform (September 29, 2017)",English,6 x 0.4 x 9 inches,8.8 ounces,3.7
"Duel to the Death (Ali Reynolds) Hardcover – March 20, 2018",17.70,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",J.A. Jance,1501150987,,"Touchstone (March 20, 2018)",English,6 x 1.2 x 9 inches,1.2 pounds,
"Mindhunter: Inside the FBI's Elite Serial Crime Unit Paperback – October 24, 2017",11.59,Books > Politics & Social Sciences > Politics & Government,John E. Douglas Mark Olshaker,1501191969,448,"Gallery Books; Media Tie-In edition (October 24, 2017)",English,6 x 1 x 9 inches,15.8 ounces,4.4
"The Sun Also Rises Paperback – October 17, 2006",9.24,Books > Literature & Fiction > Classics,Ernest Hemingway,743297334,251,"Scribner (October 17, 2006)",English,5.2 x 0.6 x 8 inches,1.4 pounds,3.8
"The Largesse of the Sea Maiden: Stories Hardcover – January 16, 2018",15.79,Books > Literature & Fiction > Genre Fiction,Denis Johnson,812988639,,"Random House (January 16, 2018)",English,5.7 x 0.9 x 8.6 inches,13.6 ounces,4.3
"The Wise Man's Fear (Kingkiller Chronicle) Mass Market Paperback – April 2, 2013",6.80,Books > Literature & Fiction > Action & Adventure,Patrick Rothfuss,756407915,1120,"DAW; Reissue edition (April 2, 2013)",English,4.2 x 1.9 x 6.8 inches,1.1 pounds,4.6
"The Pharaoh Key (Gideon Crew) Hardcover – June 12, 2018",18.30,Books > Literature & Fiction > Action & Adventure,Douglas Preston,1455525820,,"Grand Central Publishing (June 12, 2018)",English,1.1 x 1.1 inches,1.7 pounds,
